id,N_coord,E_coord
248,64.064367,-19.83455
249,64.064467,-19.825283
250,64.521583,-21.436167
251,64.521567,-21.431283
252,65.34375,-20.214383
253,64.735431,-22.041482
254,64.735431,-22.041482
255,64.760397,-22.133825
256,65.756178,-19.538124
257,64.006483,-20.975117
258,65.756178,-19.538124
259,64.754888,-21.599182
260,64.754824,-21.599076
261,64.972212,-15.134431
262,69.93955,23.09714
263,69.9166,23.0001
264,70.18481,23.37255
265,69.52483,18.37517
266,69.52483,18.37517
267,69.52483,18.37517
268,69.522,18.15933
269,69.53586,20.38052
270,69.53586,20.38052
271,69.52739,20.37237
272,69.4451,20.949
273,69.42555,20.97149
274,60.35601667,22.96513333
275,69.90233,21.89166
276,70.0301,22.0653
277,69.9395,23.09643
278,70.02267,22.01734
279,70.16708,24.7561
280,69.85366,25.051
281,70.3216,28.16984
282,64.5,21.49
283,64.6,21.491
284,59.67,27.668
285,69.93955,23.09714
286,69.95136,23.05133
287,70.0226,23.55951
288,70.02645,23.49423
289,70.02727,23.38741
290,70.03244,23.40124
291,70.15852,23.27812
292,59.8428,23.24463333
293,57.33333,18.66667
294,31.50991,110.33281
295,43.09319,77.045188
296,43.19014,77.16448
297,42.56359,74.66125
298,43.0653,141.34409
299,42.73721,140.65747
300,19.4453,-155.2851
