209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209
14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210
8,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211
20,23,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212
20,32,26,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213
12,23,15,8,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214
10,21,15,18,18,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215
10,18,11,21,26,17,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216
9,22,14,17,19,9,3,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217
22,33,27,30,30,22,26,29,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218
24,31,29,24,24,16,20,29,21,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219
24,31,27,21,23,13,21,28,20,25,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220
3,14,6,17,21,9,9,10,8,21,23,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221
20,29,23,26,26,18,20,25,23,8,22,21,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222
22,33,25,28,30,20,22,23,21,26,32,31,19,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223
10,21,15,24,28,16,16,19,17,14,24,21,9,10,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224
9,22,14,27,29,19,19,16,14,27,31,30,8,25,25,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225
7,18,10,13,17,5,13,14,12,17,19,17,4,13,15,13,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226
11,22,14,19,21,11,17,20,18,13,23,15,10,9,21,9,18,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227
10,21,15,14,16,6,10,17,11,26,20,19,11,22,26,16,21,11,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228
20,31,23,24,26,16,20,25,19,28,30,20,19,24,32,20,27,19,17,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229
8,21,13,12,16,4,8,13,5,24,18,16,7,22,22,16,13,7,13,8,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230
20,27,18,19,26,15,19,21,18,27,29,19,18,23,33,19,26,18,16,17,17,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231
11,22,14,9,13,1,9,16,8,21,15,13,8,17,19,17,16,4,10,7,15,3,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232
23,33,26,22,25,14,22,29,23,20,22,19,23,16,34,14,33,19,13,16,20,18,20,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233
16,19,13,6,18,6,14,19,15,24,20,19,15,20,24,20,23,11,15,10,22,10,17,7,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,234
21,24,18,13,23,13,19,24,20,17,19,17,20,13,31,13,28,16,12,17,19,15,14,12,11,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,235
14,16,9,13,22,13,7,8,6,31,25,24,12,25,25,21,20,16,22,13,21,11,17,12,25,11,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,236
14,25,19,20,24,12,12,21,13,18,20,17,13,14,32,4,23,17,13,12,16,12,15,13,10,16,9,17,0,,,,,,,,,,,,,,,,,,,,,,,,,237
14,17,11,14,24,14,12,17,13,32,26,26,13,28,32,20,21,17,21,14,24,12,19,13,18,10,15,9,16,0,,,,,,,,,,,,,,,,,,,,,,,,238
14,25,19,20,24,12,12,21,13,18,20,17,13,14,32,4,23,17,13,12,16,12,15,13,10,16,9,17,0,16,0,,,,,,,,,,,,,,,,,,,,,,,239
7,10,4,13,25,13,13,12,14,25,27,26,6,21,25,11,16,10,14,13,25,13,20,14,25,9,16,10,15,9,15,0,,,,,,,,,,,,,,,,,,,,,,240
12,23,17,20,20,12,8,17,9,18,12,23,11,18,28,12,19,15,19,12,22,10,21,11,18,16,15,13,8,14,8,15,0,,,,,,,,,,,,,,,,,,,,,241
17,12,22,37,35,29,25,26,26,29,29,36,18,25,35,21,22,22,26,21,29,25,34,26,33,31,30,28,25,29,25,24,21,0,,,,,,,,,,,,,,,,,,,,242
11,22,14,17,19,9,7,14,6,21,17,20,8,21,23,17,14,12,18,11,19,7,18,8,23,13,20,10,13,13,13,14,5,24,0,,,,,,,,,,,,,,,,,,,243
7,18,10,13,17,5,5,12,4,25,19,17,4,21,23,13,12,8,14,7,15,3,14,4,19,11,16,8,9,9,9,10,7,22,4,0,,,,,,,,,,,,,,,,,,244
12,23,15,18,22,10,10,17,9,28,24,22,9,24,20,18,15,13,19,12,18,6,19,9,24,14,21,13,14,14,14,15,12,25,7,5,0,,,,,,,,,,,,,,,,,245
18,31,23,26,28,18,12,17,9,34,30,29,17,30,28,26,21,21,27,20,24,14,27,17,32,22,29,15,22,22,22,23,18,33,13,13,16,0,,,,,,,,,,,,,,,,246
11,22,14,17,19,9,3,10,2,25,21,20,8,19,19,17,14,12,18,11,19,7,18,8,23,13,20,6,13,13,13,14,9,24,4,4,7,9,0,,,,,,,,,,,,,,,247
13,24,14,29,29,21,15,14,14,29,33,32,12,23,23,21,18,16,20,15,23,19,28,20,31,25,32,16,25,25,25,18,21,20,16,16,19,21,12,0,,,,,,,,,,,,,,248
5,14,10,13,15,5,7,13,8,19,13,13,4,15,19,11,12,4,8,7,17,5,16,4,17,9,14,12,11,11,11,8,9,18,8,4,9,17,8,16,0,,,,,,,,,,,,,249
17,28,22,25,27,17,15,24,16,29,23,29,16,25,35,17,24,20,24,17,27,15,26,16,23,21,20,20,13,19,13,20,11,26,16,12,17,25,16,28,14,0,,,,,,,,,,,,250
14,25,19,22,24,14,12,21,13,32,26,26,13,28,32,20,21,17,21,14,24,12,23,13,26,18,23,17,16,16,16,17,14,29,13,9,14,22,13,25,11,3,0,,,,,,,,,,,251
4,15,9,18,22,10,10,13,11,22,24,23,3,18,22,8,13,7,11,10,22,8,21,11,22,14,21,15,12,14,12,5,12,21,11,7,10,20,11,15,5,17,14,0,,,,,,,,,,252
8,19,11,22,26,14,14,15,13,26,28,26,5,22,18,14,13,9,15,16,22,12,21,13,28,20,25,17,18,18,18,11,16,23,13,9,8,22,13,17,9,17,14,8,0,,,,,,,,,253
20,31,23,30,28,22,20,24,19,36,34,31,17,32,34,26,25,21,27,24,32,20,31,21,36,28,33,23,26,26,26,23,22,35,19,17,22,28,19,27,19,17,14,20,20,0,,,,,,,,254
8,19,10,21,26,13,15,15,14,27,29,26,6,23,25,13,16,10,16,13,23,13,22,14,26,19,26,17,17,19,17,10,17,24,14,10,15,23,14,16,10,14,11,7,7,19,0,,,,,,,255
7,18,10,21,25,13,13,14,12,25,27,25,4,21,23,13,12,8,14,15,23,11,22,12,27,19,24,16,17,17,17,10,15,22,12,8,13,21,12,16,8,20,17,7,9,21,10,0,,,,,,256
20,31,23,26,28,18,14,21,13,36,30,29,17,30,18,26,25,21,27,20,28,16,27,17,32,24,29,17,22,22,22,23,18,35,15,13,18,22,13,25,17,25,22,20,22,28,23,21,0,,,,,257
13,24,16,23,25,15,9,13,8,29,27,26,10,23,21,19,18,14,20,17,13,13,24,14,29,21,26,12,19,19,19,16,15,28,12,10,13,13,8,16,12,22,19,13,13,23,16,14,19,0,,,,258
7,10,2,13,25,13,13,10,12,25,27,25,4,21,23,13,12,8,14,15,23,11,18,12,27,11,16,8,17,9,17,2,15,22,12,8,13,21,12,16,8,20,17,7,9,21,10,8,21,14,0,,,259
15,26,18,21,25,13,13,20,12,33,27,25,12,29,31,21,20,16,22,15,23,11,22,12,27,19,24,16,17,17,17,18,15,30,12,8,13,21,12,24,12,4,1,15,13,13,10,16,21,18,16,0,,260
2,13,7,18,20,10,8,11,9,20,22,22,1,16,20,8,9,5,9,10,20,8,19,9,22,14,19,13,12,12,12,5,10,17,9,5,10,18,9,13,3,15,12,2,6,18,7,5,18,11,5,13,0,261
