id,N_coord,E_coord,,,
188,66.46074,24.76848,188,Finland,
189,61.6938,27.7083166667,189,Finland,
190,61.53375,23.3919333333,190,Finland,
191,61.3558333333,26.59985,191,Finland,
192,60.7195833333,24.6823833333,192,Finland,
193,60.3430666667,25.67945,193,Finland,
194,60.4775333333,24.8444166667,194,Finland,
195,60.72617,21.90933,195,Finland,
196,61.16405,23.7807333333,196,Finland,
197,60.4051166667,25.1561666667,197,Finland,
198,60.80517,23.757,198,Finland,
199,60.4038666667,23.1251833333,199,Finland,
200,61.8788,21.46825,200,Finland,
201,61.7948666667,24.35845,201,Finland,
202,60.1061166667,23.6781833333,202,Finland,
203,60.0672833333,23.2878833333,203,Finland,
204,60.2076,23.80655,204,Finland,
205,60.4651333333,25.52535,205,Finland,
206,61.8,42.092,206,Finland,
207,60.3706,22.9795833333,207,Finland,
208,60.0824166667,24.1591833333,208,Finland,
209,64.799766,21.254027,209,Iceland,
210,64.57149,21.59908,210,Iceland,
211,64.75928,21.59377,211,Iceland,
212,64.83845,21.35098,212,Iceland,
213,65.95007,19.48785,213,Iceland,
214,65.950069,-19.487877,214,Iceland,
215,63.992617,-19956233,215,Iceland,
216,63.96063,-22.398191,216,Iceland,
217,63.960631,-22.398192,217,Iceland,
218,63.960632,-22.398193,218,Iceland,
219,65.671034,-18.043221,219,Iceland,
220,65.671035,-18.043222,220,Iceland,
221,63645833,-18.505583,221,Iceland,
222,63.8372,-18.050467,222,Iceland,
223,63.8372,-18.050467,223,Iceland,
224,63.947267,-17.64025,224,Iceland,
225,63.947267,-17.64025,225,Iceland,
226,63.972315,-16.839655,226,Iceland,
227,63.972316,-16.839656,227,Iceland,
228,65.5616,-18.1062,228,Iceland,
229,65.5616,-18.1062,229,Iceland,
230,65.5616,-18.1062,230,Iceland,
231,65.5616,-18.1062,231,Iceland,
232,65.999876,-16.510578,232,Iceland,
233,65.998511,-16.512318,233,Iceland,
234,65.998511,-16.512318,234,Iceland,
235,66.002366,-16.517227,235,Iceland,
236,63.990933,-19.963683,236,Iceland,
237,64.00795,-19.881,237,Iceland,
238,64.069533,-19.851433,238,Iceland,
239,64.068367,-19.846767,239,Iceland,
240,64.06785,-19.847283,240,Iceland,
241,64.058783,-19.860517,241,Iceland,
242,64.059317,-19.858367,242,Iceland,
243,64.059567,-19.8573,243,Iceland,
244,64.060117,-19.85225,244,Iceland,
245,64.060118,-19.85225,245,Iceland,
246,64.062217,-19.847217,246,Iceland,
247,64.064083,-19.8394,247,Iceland,
248,64.064367,-19.83455,248,Iceland,
249,64.064467,-19.825283,249,Iceland,
250,64.521583,-21.436167,250,Iceland,
251,64.521567,-21.431283,251,Iceland,
252,65.34375,-20.214383,252,Iceland,
253,64.735431,-22.041482,253,Iceland,
254,64.735431,-22041482,254,Iceland,
255,64.760397,-22.133825,255,Iceland,
256,65.756178,-19.538124,256,Iceland,
257,64.006483,-20.975117,257,Iceland,
258,65.756178,-19.538124,258,Iceland,
259,64.754888,-21.599182,259,Iceland,
260,64.754824,-21.599076,260,Iceland,
261,64.972212,-15.134431,261,Iceland,
262,69.93955,23.09714,262,Norway,
263,69.9166,23.0001,263,Norway,
264,70.18481,23.37255,264,Norway,
265,69.52483,18.37517,265,Norway,
266,69.52483,18.37517,266,Norway,
267,69.52483,18.37517,267,Norway,
268,69.522,18.15933,268,Norway,
269,69.53586,20.38052,269,Norway,
270,69.53586,20.38052,270,Norway,
271,69.52739,20.37237,271,Norway,
272,69.4451,20.949,272,Norway,
273,69.42555,20.97149,273,Norway,
274,60.3560166667,22.9651333333,274,Finland,
275,69.90233,21.89166,275,Norway,
276,70.0301,22.0653,276,Norway,
277,69.9395,23.09643,277,Norway,
278,70.02267,22.01734,278,Norway,
279,70.16708,24.7561,279,Norway,
280,69.85366,25.051,280,Norway,
281,70.3216,28.16984,281,Norway,
282,64.5,21.49,282,Norway,
283,64.6,21.491,283,Norway,
284,59.67,27.668,284,Norway,
285,69.93955,23.09714,285,Norway,
286,69.95136,23.05133,286,Norway,
287,70.0226,23.55951,287,Norway,
288,70.02645,23.49423,288,Norway,
289,70.02727,23.38741,289,Norway,
290,70.03244,23.40124,290,Norway,
291,70.15852,23.27812,291,Norway,
292,59.8428,23.2446333333,292,Finland,
293,57.33333,18.66667,293,viridis,
295,43.09319,77.045188,295,Kazakhstan,
296,43.19014,77.16448,296,Kazakhstan,
297,42.56359,74.66125,297,Kyrgyzstan,
